frame_index,left_toe_speed,right_toe_speed,left_ankle_speed,right_ankle_speed,left_knee_speed,right_knee_speed,left_toe_vertical_delta,right_toe_vertical_delta,toe_tapping_rate_proxy,toe_lr_asymmetry
1,7995.4194,7845.8784,8089.1943,8152.672,8207.587,7962.8145,11.514648,8.278442,7920.649,0.018879894
2,4537.688,4471.5444,4354.044,4328.2534,4412.851,4482.7686,6.958252,7.1794434,4504.616,0.014683505
3,876.51733,944.0089,869.7211,936.54645,823.06,843.6259,3.4694214,2.678711,910.2631,0.07414513
4,3358.5527,3371.1821,3437.122,3452.6328,3473.8755,3483.6438,7.0010986,5.5808716,3364.8674,0.0037533112
5,1605.1068,1429.5265,1588.6519,1491.7119,1558.7179,1428.4225,3.0840454,2.5858765,1517.3167,0.11571766
6,2196.043,2217.5107,2141.4915,2184.1658,2181.6326,2231.024,5.7790527,4.980591,2206.7769,0.009728112
7,1042.9452,1120.961,1122.8657,1187.3147,1066.3027,1104.492,3.145874,1.7119751,1081.9531,0.07210652
8,2952.6873,2797.7092,2946.6604,2873.6357,3007.929,2851.5488,6.781006,6.8096313,2875.1982,0.053901684
9,3767.825,3761.7834,3816.088,3842.0374,3806.3782,3845.8074,7.4053345,5.513794,3764.8042,0.0016047326
10,178.46078,469.34265,208.59483,426.42834,209.77539,378.17838,0.42687988,0.13269043,323.90173,0.8980559
11,398.8458,431.26028,442.416,486.32404,406.28903,370.1955,1.0240479,0.9572754,415.05304,0.078097224
12,15306.279,14537.39,15377.45,14918.185,15216.107,14859.215,32.625732,30.401062,14921.834,0.051527824
13,2644.5864,2460.9624,2640.2566,2527.3408,2602.5168,2434.6567,4.804016,4.1987915,2552.7744,0.07193116
14,1651.3986,1660.1486,1682.2926,1692.539,1634.1737,1683.7384,4.94928,4.28833,1655.7736,0.005284539
15,40.64035,166.21298,72.45769,137.74124,71.40436,156.64182,0.39398193,0.032165527,103.42667,1.2141224
16,568.70166,604.10736,597.20593,630.5569,560.71533,563.66144,0.6642456,0.016662598,586.40454,0.0603776
17,127.50621,176.43877,220.50235,221.53816,283.50745,312.15305,0.16937256,0.31628418,151.97249,0.32198298
