frame_index,left_toe_speed,right_toe_speed,left_ankle_speed,right_ankle_speed,left_knee_speed,right_knee_speed,left_toe_vertical_delta,right_toe_vertical_delta,toe_tapping_rate_proxy,toe_lr_asymmetry
1,6148.4087,6029.1475,6341.5596,6322.3154,6625.561,6471.5015,9.908752,10.0043335,6088.7783,0.019587055
2,10217.724,9899.502,10540.637,10309.657,10660.995,10275.449,6.5838623,7.7210693,10058.613,0.031636734
3,3846.5796,3833.2947,3855.424,3853.397,3906.9077,3905.5203,8.967834,8.640808,3839.937,0.0034596692
4,1104.1271,1359.7957,1193.5134,1387.9928,1274.9124,1391.2238,2.302124,3.61438,1231.9614,0.2075297
5,272.23322,192.68608,325.09915,203.7166,326.99362,197.02264,1.2700806,2.348999,232.45966,0.3421976
6,4502.0894,4573.267,4695.251,4753.2905,4760.1055,4857.193,9.291077,8.744446,4537.678,0.015685936
7,6096.6235,6211.7476,6298.0073,6366.97,6364.124,6423.618,11.640198,11.075806,6154.1855,0.018706622
8,3342.6382,3334.1716,3448.8853,3457.4038,3466.7837,3529.5642,1.2786865,0.91381836,3338.4048,0.0025361073
9,837.6918,862.23486,832.88696,871.58795,811.85767,871.12665,1.3564453,1.3362427,849.9633,0.02887547
10,736.96747,816.07794,854.2747,931.61865,865.9058,939.46027,2.9152222,2.8027954,776.5227,0.10187786
11,1200.0345,1150.2435,1224.8141,1208.2402,1187.5852,1197.9255,1.9822998,1.6897583,1175.139,0.04237032
12,2218.8706,2190.1145,2259.68,2186.7297,2327.8193,2199.059,8.6203,11.125305,2204.4927,0.013044318
13,6106.931,6104.139,6396.4165,6339.1777,6461.198,6385.238,2.8309326,2.5247192,6105.535,0.0004572887
14,5421.534,5239.998,5489.9854,5327.7393,5472.4956,5432.5664,9.906799,9.512146,5330.766,0.034054417
15,3081.1492,3063.7393,3240.5369,3212.4426,3247.5059,3255.6973,6.8933105,7.0474243,3072.4443,0.0056664697
16,4760.0654,4839.687,4914.9194,4956.662,5036.273,5020.4985,11.983276,13.1502075,4799.876,0.016588258
17,1634.4174,1686.2466,1688.6534,1703.1692,1699.0066,1710.2339,2.9788818,2.9120483,1660.332,0.03121618
18,1686.2517,1510.348,1627.9773,1494.6504,1573.2167,1454.4976,5.9835205,5.794922,1598.2998,0.11005675
19,1761.4672,1730.2236,1724.9708,1721.2605,1715.5525,1773.3014,4.5372314,4.56604,1745.8455,0.017895931
20,539.82117,534.7145,590.4393,567.70844,568.8952,590.7103,3.1987305,2.4302979,537.2678,0.009504924
21,1461.1781,1716.3878,1539.2129,1751.0475,1645.2169,1760.61,3.2629395,2.9642334,1588.783,0.16063221
22,1567.1132,1739.2092,1584.6971,1702.7179,1640.8596,1677.9878,1.1743164,1.144165,1653.1611,0.1041012
23,1913.3624,1985.5044,1959.8049,2010.8667,1937.7643,2056.5679,6.5030518,6.4015503,1949.4333,0.037006635
24,12049.689,11937.896,12209.332,12091.754,12068.956,12171.628,21.89856,21.594727,11993.793,0.009320902
25,8049.8833,7863.7207,8173.1445,7999.1484,8162.591,8136.023,11.739685,11.702026,7956.802,0.023396662
26,2054.2725,2127.9612,2158.2427,2214.1982,2127.2148,2241.842,4.669739,4.505371,2091.1167,0.035238933
27,358.5276,196.49008,311.4672,229.6905,314.7751,252.72682,0.27734375,0.6112671,277.50885,0.58390033
28,549.31586,557.6717,508.13553,548.17395,509.7479,547.12744,2.574768,1.713562,553.4938,0.015096529
29,538.94904,618.90656,482.93338,571.66833,550.18713,708.1562,1.2158203,1.7041016,578.9278,0.13811311
30,813.2266,904.32184,867.36914,939.6415,914.43695,938.4722,1.1144409,1.3860474,858.77423,0.10607586
31,379.69855,444.57083,396.76547,446.09045,384.15088,432.4396,0.5283203,0.7498169,412.1347,0.15740554
32,2255.932,2118.2805,2236.1223,2130.6853,2194.062,2096.7285,3.0114136,3.2949219,2187.1062,0.06293767
33,1906.8177,1829.3826,1916.7297,1852.2719,1883.0792,1841.9426,1.4505005,1.4082031,1868.1001,0.0414513
34,1846.8545,1750.6747,1804.731,1742.5265,1797.8319,1767.4468,3.900879,4.172241,1798.7646,0.053469926
35,1837.5447,1932.8842,1866.2164,1945.492,1845.3492,1954.9414,4.3236084,4.345764,1885.2144,0.05057222
36,12390.01,12324.687,12653.843,12536.801,12676.105,12495.302,19.7016,19.704712,12357.348,0.0052861865
37,11376.525,11319.79,11591.061,11506.984,11637.531,11631.41,19.695862,20.10199,11348.158,0.0049995207
38,1346.2372,1207.8304,1363.4774,1255.5426,1359.5833,1306.3652,4.0739746,4.0806274,1277.0338,0.10838142
39,1752.4475,1750.5754,1744.9144,1727.8131,1724.1259,1682.0363,4.249756,5.416992,1751.5115,0.0010688313
40,3074.0806,3078.994,3127.6003,3106.8835,3096.9421,3116.1758,8.169617,8.368225,3076.537,0.0015970326
41,3460.2317,3479.8662,3421.7456,3438.4563,3413.7866,3418.0535,10.114075,9.669312,3470.0488,0.005658284
42,651.28394,597.34656,668.525,642.0953,681.99646,640.40405,1.6723633,1.5602417,624.31525,0.08639446
43,208.36803,214.51501,234.0092,246.02774,390.89417,409.93698,0.20300293,0.35369873,211.44153,0.02907181
44,2720.9585,2599.716,2771.4429,2681.9053,2806.1294,2698.5886,6.2244873,7.118347,2660.3374,0.04557408
45,1458.7804,1424.9385,1510.7264,1473.6711,1546.6104,1493.7587,3.1931152,3.1519165,1441.8594,0.023471026
46,548.5602,644.2161,585.0722,648.7479,613.289,687.3096,0.82666016,0.8463135,596.3882,0.16039209
47,1290.9493,1513.1238,1393.2709,1547.7981,1486.1871,1588.7911,1.7009277,1.9471436,1402.0366,0.1584655
48,4837.266,5187.3784,4997.1675,5204.9663,5028.666,5264.7563,2.3345337,2.3475342,5012.3223,0.06985032
49,4511.946,4472.134,4558.1084,4530.0405,4536.2266,4532.8584,6.753235,6.734375,4492.04,0.008862791
50,1112.0308,1080.0823,1165.2426,1123.7189,1152.7703,1166.1262,1.4179077,0.9369507,1096.0565,0.029148575
51,1117.5532,1128.6731,1149.2086,1154.0511,1166.8158,1124.7522,2.789856,3.1160889,1123.1132,0.009900938
52,3058.2385,2988.2837,3178.0813,3116.804,3253.0542,3192.789,5.2823486,5.0270386,3023.2612,0.023138866
53,155.36543,228.2643,110.13512,157.78708,129.03175,189.46143,0.5710449,0.9530029,191.81487,0.38004804
54,928.5142,927.4156,946.03815,950.9196,926.07526,949.16907,0.5274048,0.27319336,927.9649,0.0011839163
55,334.3502,380.84445,361.02246,388.16135,322.8987,384.0985,0.19085693,0.07696533,357.59732,0.13001849
56,766.4892,787.6499,806.2875,816.2189,800.0343,822.6478,3.510315,3.371704,777.0696,0.027231418
57,875.45355,843.7702,892.84863,869.3301,850.4413,858.1141,2.100891,1.9953003,859.6119,0.03685774
58,2310.959,2224.483,2326.5977,2269.697,2370.7769,2290.348,5.989624,6.1862183,2267.721,0.038133472
59,3340.8213,3275.934,3358.595,3344.0627,3301.1965,3337.7542,9.726868,9.491455,3308.3777,0.019612998
60,9003.886,8869.388,9160.82,9020.094,9307.279,8975.502,17.108276,17.2594,8936.637,0.015050186
61,8921.891,8828.719,9049.364,8947.411,9193.687,9072.357,16.218445,16.716553,8875.305,0.010497879
62,704.13666,772.82355,735.601,777.5971,728.3288,754.7557,1.5131836,1.6781616,738.4801,0.093011156
63,2866.1392,2915.4592,2897.4438,2928.823,2890.8499,2905.8367,7.7387085,7.8690186,2890.7993,0.01706105
64,1988.8982,1997.7625,1957.394,1974.5779,1966.624,2018.9178,3.0828247,2.2611084,1993.3303,0.0044469587
65,176.45883,200.21053,211.43436,228.38028,177.10634,194.8831,0.88323975,1.3601074,188.33469,0.12611428
66,1184.2579,1118.7894,1166.705,1136.2881,1206.2325,1203.511,2.9368286,2.473877,1151.5237,0.05685381
67,2036.2587,2121.113,2064.9277,2104.5264,2046.0201,2102.3337,7.8391113,7.902649,2078.6858,0.04082116
68,268.69354,485.157,348.027,463.5632,357.58353,481.46466,2.2231445,3.6651611,376.9253,0.5742875
69,1270.5414,1309.8077,1353.581,1367.4874,1343.589,1416.3551,4.119934,3.40448,1290.1746,0.030434918
70,248.89574,262.2138,208.93866,180.84956,218.02435,182.47198,0.6553955,1.3982544,255.55478,0.05211434
71,2583.5117,2513.1582,2563.0676,2512.402,2558.233,2551.1138,8.9591675,8.75946,2548.335,0.02760764
72,11152.818,10977.277,11495.973,11247.603,11615.386,11206.397,13.742004,16.722595,11065.048,0.01586446
73,9501.449,9267.734,9796.051,9565.856,9924.245,9610.302,12.585571,14.087463,9384.592,0.024904104
74,2908.7563,2944.9333,2974.5242,2961.369,3053.999,2965.2686,6.987488,7.3586426,2926.8447,0.012360411
75,2554.896,2579.666,2661.7375,2647.3184,2708.7615,2697.496,5.9680786,5.501709,2567.281,0.009648347
76,3516.0999,3513.3523,3527.6243,3521.8877,3496.4902,3555.6548,10.521423,10.048523,3514.726,0.00078172766
77,255.35197,303.54068,307.09235,300.0234,283.297,294.21216,1.2295532,1.5337524,279.44632,0.17244351
78,2451.616,2419.4287,2416.5703,2385.477,2424.9473,2374.3052,7.2545776,7.248047,2435.5225,0.0132157495
79,1635.058,1714.7809,1691.5315,1712.9329,1702.9614,1710.6987,4.445801,5.272522,1674.9194,0.04759805
80,2175.666,2216.2275,2227.8257,2259.7698,2270.767,2243.43,3.257019,3.0636597,2195.9468,0.018471086
81,1678.3071,1813.5176,1773.2299,1842.782,1765.4991,1805.8911,0.21777344,0.27807617,1745.9124,0.07744401
82,2111.941,2155.9978,2185.0454,2185.615,2229.8528,2209.7095,3.649109,4.57605,2133.9692,0.02064551
83,1299.185,1353.7228,1259.9746,1315.1708,1224.9115,1341.5967,1.947937,1.1987915,1326.4539,0.04111543
84,7413.431,7286.877,7593.8086,7512.868,7479.817,7545.194,8.729919,7.0029907,7350.1543,0.017217897
85,12106.124,12007.984,12466.699,12381.974,12586.462,12404.211,20.693848,21.6604,12057.055,0.008139604
86,1246.4476,1097.2643,1294.0168,1163.3324,1254.652,1073.7799,1.862793,2.6620483,1171.856,0.1273052
87,2491.7893,2548.5354,2591.5154,2603.9011,2644.8455,2542.2148,7.9540405,7.757019,2520.1624,0.022516841
88,7844.6216,7970.584,8155.1035,8181.702,8276.5,8202.519,21.484924,21.119751,7907.6025,0.015929278
89,7262.2163,7514.8433,7470.8525,7598.435,7675.3013,7688.2036,17.46228,16.546143,7388.53,0.034191776
90,899.616,830.05707,877.99536,873.3822,770.47394,736.90314,4.579895,3.808899,864.83655,0.08043018
91,2896.237,2883.9114,3029.6865,3011.2295,3047.0083,3051.154,6.015442,4.8079224,2890.0742,0.004264833
92,4514.4297,4565.6406,4743.8843,4749.5513,4951.208,4858.0654,7.942688,8.454163,4540.035,0.011279855
93,6006.009,6144.643,6264.831,6340.986,6470.462,6440.2153,11.500549,11.32489,6075.326,0.022819232
94,3374.6965,3421.527,3532.941,3526.408,3573.8384,3535.817,9.354614,9.155823,3398.1118,0.013781349
95,1950.2642,2023.4065,2035.1198,2080.9775,2009.6782,2043.2812,6.3517456,6.024109,1986.8353,0.036813486
96,9502.445,9336.152,9641.656,9503.107,9741.974,9595.551,17.642761,16.968262,9419.299,0.017654495
97,10050.517,9732.563,10187.098,9939.423,10318.854,10087.8125,21.42041,20.621582,9891.54,0.032143947
98,1591.0997,1520.4293,1618.2802,1560.0497,1715.5627,1653.7881,4.98822,4.7719727,1555.7645,0.045424875
99,1162.7395,1115.0079,1172.9418,1159.4663,1174.4528,1139.3613,3.4449463,3.38562,1138.8738,0.0419112
100,375.2527,345.91434,325.2043,323.6927,152.1014,129.46754,0.6882324,0.24841309,360.5835,0.08136354
101,3390.023,3385.181,3375.7659,3386.7117,3393.2153,3465.7036,8.582825,8.8046875,3387.602,0.0014293417
102,1674.688,1549.0355,1715.7452,1635.2178,1701.0906,1601.3241,3.9540405,3.7521362,1611.8618,0.07795486
103,775.93317,793.215,797.9983,816.2055,808.1007,829.3408,2.635437,2.534851,784.5741,0.02202706
104,1443.4072,1400.1002,1417.6416,1394.0637,1510.4629,1482.7291,2.805359,2.6671143,1421.7537,0.030460274
105,1035.9548,1025.9929,1006.2387,1034.6193,1045.7734,1071.4352,4.3516846,4.8550415,1030.9739,0.009662625
106,1092.9031,1053.4264,1086.5399,1047.6316,1034.0212,952.17035,3.4866333,3.5186157,1073.1648,0.036785297
107,1291.979,1290.0708,1304.4716,1311.4789,1344.4558,1316.1262,3.8226318,4.3188477,1291.0249,0.0014780529
108,5367.5425,5246.679,5476.811,5379.1206,5541.4453,5395.1436,3.1165771,2.7942505,5307.111,0.022773838
109,8705.764,8332.795,8707.582,8468.6455,8676.293,8534.924,18.033142,17.803528,8519.279,0.043779377
110,416.96442,377.11264,378.9051,354.61765,359.41165,365.46097,5.0111084,4.547119,397.0385,0.10037257
111,2140.3315,2103.7913,2155.3513,2133.5073,2112.394,2103.5217,4.267761,4.392029,2122.0615,0.017219238
112,139.13338,236.71005,186.91321,237.15807,190.95033,163.99417,1.5050049,1.9766846,187.92172,0.5192411
113,1589.3334,1475.258,1536.6943,1466.8373,1545.1079,1511.1012,3.6188965,2.9453735,1532.2957,0.07444733
114,2519.526,2666.3223,2643.6338,2746.1724,2739.1028,2783.932,5.232788,5.260254,2592.924,0.056614224
115,203.54982,279.88226,225.13876,284.48233,240.52965,191.48802,0.4243164,0.02709961,241.71603,0.31579387
116,1649.4045,1677.7296,1657.6117,1684.2555,1711.272,1720.7878,2.6398926,2.826416,1663.5671,0.01702671
117,2596.0251,2674.2935,2652.0547,2716.9524,2675.4204,2759.7466,2.1557617,1.9279785,2635.1592,0.02970155
118,542.45404,668.3407,589.82605,684.4897,617.04956,733.4766,0.91174316,1.5560913,605.39734,0.20794055
119,907.9886,945.33746,971.7511,981.5487,943.18335,973.36066,2.1066284,2.3743286,926.663,0.0403047
120,9939.5205,10141.687,10036.576,10145.801,10044.511,10231.6875,19.168213,19.307861,10040.604,0.020134848
121,11831.866,12198.61,12105.278,12344.756,12126.771,12416.098,25.22821,25.124084,12015.238,0.030523252
122,726.7979,768.2652,701.87006,752.31604,656.3681,803.7245,2.234436,2.3250732,747.53156,0.05547229
123,2159.106,2272.2183,2289.164,2379.2056,2336.9333,2359.6152,5.573059,6.30011,2215.662,0.051051244
124,2640.5068,2621.4907,2611.6702,2635.1096,2587.2524,2644.5676,6.27948,6.0706177,2630.9988,0.0072277165
125,599.18695,668.4996,631.35187,665.1914,716.618,678.3123,0.12060547,0.07495117,633.84326,0.10935294
126,2099.392,2060.5657,2112.6714,2088.7131,2108.159,2070.5437,6.8187866,7.4466553,2079.979,0.018666735
127,1177.1382,1247.2274,1205.9506,1268.1494,1182.3031,1256.4409,4.4642334,4.1105347,1212.1829,0.057820678
128,363.01868,338.82538,387.88983,393.55176,299.85587,242.22568,1.8460693,1.8773193,350.92203,0.06894209
129,1314.1377,1386.0247,1373.6569,1417.0374,1382.7014,1464.6768,0.33477783,0.87908936,1350.0812,0.0532464
130,234.97238,190.26907,210.6156,170.77814,137.0481,93.50262,1.9863892,2.0387573,212.62073,0.21024907
131,292.16122,294.8525,291.95758,289.40988,330.51605,326.6553,1.1917725,1.1504517,293.50687,0.009169408
132,3883.0825,3810.463,3819.9644,3806.6772,3766.2048,3697.2764,8.966064,8.620422,3846.7727,0.018878065
133,5571.19,5692.6763,5661.6626,5757.105,5666.7427,5727.327,13.801392,13.423584,5631.933,0.021570982
134,765.64996,874.0443,785.5882,868.4486,818.36456,819.64606,3.8945312,3.9397583,819.84717,0.13221288
135,257.5749,331.93042,286.5183,337.16168,297.28906,285.7988,0.64624023,0.2119751,294.75266,0.25226414
136,179.95264,209.69135,177.8345,215.17467,212.58784,196.28577,0.64959717,0.38928223,194.82199,0.15264554
137,159.4369,374.12238,153.03069,304.5248,138.38297,295.06775,0.64959717,0.39031982,266.77963,0.80472964
138,43.101185,78.58959,56.069378,78.2936,106.15639,78.52002,0.089660645,0.14923096,60.84539,0.58325547
139,357.89777,393.83322,385.937,410.1399,393.6107,368.32806,0.55908203,0.6459961,375.86548,0.09560723
140,315.37808,433.84573,325.04498,392.75632,335.58185,461.6954,0.96881104,0.57373047,374.6119,0.31624103
141,1061.454,1047.8683,1109.6334,1082.1572,1163.3054,1117.7163,3.055542,3.2348633,1054.6611,0.012881572
142,1597.6306,1563.9952,1635.5465,1615.5693,1644.1646,1585.4219,6.3276978,6.5062256,1580.813,0.021277264
143,545.7878,578.8241,557.814,593.96484,583.0434,610.1655,2.0646362,1.633728,562.3059,0.0587515
144,8851.145,9232.448,9096.504,9357.543,9264.279,9422.301,16.959717,17.008728,9041.797,0.042171232
145,6943.2417,7097.6836,7111.7783,7202.3003,7180.6816,7262.387,11.057312,11.512573,7020.463,0.021998819
146,832.79504,962.70514,888.01447,994.93866,918.0704,994.19745,1.2335815,1.2293701,897.7501,0.1447063
147,1838.5562,1955.2643,1875.6848,1972.5756,1892.4319,1998.0408,4.2824097,3.9075928,1896.9102,0.061525386
148,2075.3445,2391.5613,2158.648,2373.8433,2235.6006,2381.764,3.2247925,3.6518555,2233.453,0.14158203
149,2101.5652,2141.1528,2169.555,2195.8018,2176.4468,2227.782,8.238342,7.8029785,2121.359,0.018661456
150,1177.202,1285.2986,1255.6396,1331.4956,1280.4194,1363.525,3.984253,3.7260742,1231.2502,0.08779414
151,2744.9639,2816.7996,2781.3208,2862.2551,2780.985,2922.3767,7.2109375,6.6831055,2780.8818,0.025831982
152,1403.1562,1436.6677,1511.3252,1512.7667,1555.9567,1563.0907,3.5888672,3.8753052,1419.912,0.023601092
153,1847.6545,1823.9589,1879.8962,1877.0956,1896.9951,1891.0237,5.0803223,4.571106,1835.8066,0.012907502
154,942.6475,1032.9922,943.40405,1005.05963,940.96906,1027.0276,2.0454102,2.4265747,987.8198,0.09145865
155,753.17896,760.00946,752.66974,774.31006,765.14825,784.9862,0.975647,1.4408569,756.59424,0.0090279635
156,5322.07,5375.7183,5276.409,5329.1997,5218.5596,5307.0366,9.326111,9.697266,5348.894,0.010029819
157,4310.5205,4445.457,4356.7783,4447.441,4318.042,4423.691,5.4691772,5.4473877,4377.989,0.030821579
158,931.4019,1050.3563,966.0825,1076.3428,991.8446,1089.9202,0.22021484,0.3951416,990.87915,0.12004936
159,1378.3245,1432.0895,1346.4034,1432.6791,1342.2645,1441.3752,1.8734131,1.7984009,1405.207,0.038261276
160,857.1946,843.99634,905.3266,861.8814,997.0285,877.2462,2.842041,4.0165405,850.59546,0.015516474
161,666.1245,684.0542,736.8939,741.2826,724.8001,713.5501,3.253357,2.7628784,675.08936,0.026558984
162,1002.33527,1149.5908,1099.9308,1204.1539,1064.9813,1157.2327,2.3535767,1.9491577,1075.963,0.13685931
163,174.98233,249.69705,181.60233,243.93845,141.4355,206.28618,1.2420044,0.8798218,212.33969,0.35186413
164,3165.7708,3230.714,3425.7908,3475.3542,3591.315,3562.6016,9.517395,9.986206,3198.2424,0.020305952
165,928.5566,1075.0511,1035.2778,1127.674,1052.9834,1115.4305,3.1074219,3.166748,1001.80383,0.14623079
166,1364.3783,1373.7584,1422.994,1421.764,1422.9138,1394.8257,4.9016724,4.482971,1369.0684,0.0068514673
167,1459.308,1499.179,1489.29,1527.7375,1497.9277,1564.0554,5.6794434,5.565674,1479.2434,0.026953625
168,7007.674,6784.6284,7121.253,6937.613,6984.485,6893.587,12.692322,12.095825,6896.1514,0.032343462
169,5303.503,5285.7554,5348.2524,5344.5654,5305.3306,5367.4604,10.788269,10.132874,5294.629,0.003351993
170,1746.2618,1732.5281,1772.7865,1749.8127,1754.5828,1715.1077,3.668396,3.7710571,1739.395,0.007895714
171,1211.2383,1311.932,1277.5416,1335.4418,1288.5891,1341.2301,4.7628784,4.1870117,1261.5852,0.07981524
172,419.1306,555.8862,352.3511,467.82428,343.9014,436.24585,2.609558,2.2896118,487.50842,0.2805195
173,4618.701,4653.9404,4728.63,4745.3584,4710.879,4680.629,12.419678,11.436707,4636.321,0.0076006944
174,535.6825,582.056,567.031,598.7171,531.8926,508.06992,2.1953125,2.1566162,558.86926,0.08297743
175,1133.8262,1099.8854,1092.6184,1107.4114,1115.7485,1192.9597,3.5368042,3.1862793,1116.8557,0.030389598
176,1080.7417,1180.2562,1196.9183,1231.1085,1237.4917,1235.2588,1.666748,1.637207,1130.499,0.088027075
177,195.04945,226.96634,195.98589,255.87518,175.66437,181.02165,2.2486572,2.4882202,211.0079,0.1512592
178,1811.4735,1812.4932,1901.8002,1896.9491,1939.1995,1946.5596,2.296936,2.0498657,1811.9834,0.00056272774
179,665.5088,691.52924,704.10443,732.1924,794.9914,704.56006,4.296875,4.8657227,678.51904,0.038348883
180,15804.975,15638.364,15976.208,15849.318,16105.152,15986.942,29.674438,30.236938,15721.67,0.010597497
181,10123.279,10019.26,10225.241,10111.965,10244.132,10132.848,19.41748,19.971252,10071.27,0.010328343
182,3038.024,2926.8875,3104.6987,3044.2314,3178.7224,3098.1084,6.036377,5.723816,2982.4556,0.037263412
183,1342.2706,1211.7528,1350.8303,1257.6615,1304.1322,1285.7625,3.024414,3.1435547,1277.0117,0.10220566
184,1480.6704,1460.9888,1466.9595,1448.8074,1484.8469,1507.3132,0.25628662,0.3630371,1470.8296,0.013381319
